id,date_europe_rome,date_gmt,title,original_url,old_urls,categories,tags,language,attachments,missing,featured_image,content_file
con-i-filtri-di-internet-proposti-i-cittadini-saranno-spogliati-dei-loro-diritti-e-necessario-un-tuo-intervento,2018-06-13 17:50:56,2018-06-13T15:50:56Z,Con i filtri di internet proposti i cittadini saranno spogliati dei loro diritti: è necessario un tuo intervento!,https://www.hermescenter.org/con-i-filtri-di-internet-proposti-i-cittadini-saranno-spogliati-dei-loro-diritti-e-necessario-un-tuo-intervento/,,News; Press,,IT,0,0,,data/posts/con-i-filtri-di-internet-proposti-i-cittadini-saranno-spogliati-dei-loro-diritti-e-necessario-un-tuo-intervento/content.html
con-i-filtri-internet-proposti-le-piattaforme-si-rivolteranno-contro-gli-utenti-bisogna-entrare-in-azione,2018-06-18 16:46:00,2018-06-18T14:46:00Z,Con i filtri internet proposti le piattaforme si rivolteranno contro gli utenti: bisogna entrare in azione!,https://www.hermescenter.org/con-i-filtri-internet-proposti-le-piattaforme-si-rivolteranno-contro-gli-utenti-bisogna-entrare-in-azione/,,News; Press,,IT,0,0,,data/posts/con-i-filtri-internet-proposti-le-piattaforme-si-rivolteranno-contro-gli-utenti-bisogna-entrare-in-azione/content.html
il-filtro-internet-europeo-distruggera-la-tua-liberta-di-espressione-serve-il-tuo-intervento,2018-06-19 15:54:04,2018-06-19T13:54:04Z,Il filtro internet europeo distruggerà la tua libertà di espressione: serve il tuo intervento!,https://www.hermescenter.org/il-filtro-internet-europeo-distruggera-la-tua-liberta-di-espressione-serve-il-tuo-intervento/,,News; Press,,IT,0,0,,data/posts/il-filtro-internet-europeo-distruggera-la-tua-liberta-di-espressione-serve-il-tuo-intervento/content.html
i-legislatori-europei-vogliono-governare-internet-con-filtri-tuttaltro-che-perfetti-serve-il-tuo-intervento,2018-06-19 15:55:31,2018-06-19T13:55:31Z,I legislatori europei vogliono governare internet con filtri tutt’altro che perfetti: serve il tuo intervento!,https://www.hermescenter.org/i-legislatori-europei-vogliono-governare-internet-con-filtri-tuttaltro-che-perfetti-serve-il-tuo-intervento/,,News; Press,,IT,0,0,,data/posts/i-legislatori-europei-vogliono-governare-internet-con-filtri-tuttaltro-che-perfetti-serve-il-tuo-intervento/content.html
data-retention-hermes-center-si-unisce-ad-oltre-60-ong-nellinvio-di-denunce-contro-la-conservazione-illegale-di-dati,2018-06-25 13:46:09,2018-06-25T11:46:09Z,Data Retention: Hermes Center si unisce ad oltre 60 ONG nell’invio di denunce contro la conservazione illegale di dati,https://www.hermescenter.org/data-retention-hermes-center-si-unisce-ad-oltre-60-ong-nellinvio-di-denunce-contro-la-conservazione-illegale-di-dati/,,News; Press,,IT,1,0,,data/posts/data-retention-hermes-center-si-unisce-ad-oltre-60-ong-nellinvio-di-denunce-contro-la-conservazione-illegale-di-dati/content.html
whistleblowingpa,2018-10-01 12:00:39,2018-10-01T10:00:39Z,Il software libero e open source GlobaLeaks fornito gratuitamente agli enti pubblici: nasce WhistleblowingPA,https://www.hermescenter.org/whistleblowingpa/,,News,,IT,0,0,,data/posts/whistleblowingpa/content.html
15-novembre-2018-un-anno-dallapprovazione-della-legge-sul-whistleblowing-in-italia,2018-11-15 11:47:23,2018-11-15T10:47:23Z,15 novembre 2018: un anno dall’approvazione della legge sul whistleblowing in Italia,https://www.hermescenter.org/15-novembre-2018-un-anno-dallapprovazione-della-legge-sul-whistleblowing-in-italia/,,News; Press,,IT,0,0,,data/posts/15-novembre-2018-un-anno-dallapprovazione-della-legge-sul-whistleblowing-in-italia/content.html
digital-whistleblowing-fund-new-grant-program-to-support-whistleblowing-initiatives,2018-11-15 12:07:50,2018-11-15T11:07:50Z,Digital Whistleblowing Fund: New Grant Program To Support Whistleblowing Initiatives,https://www.hermescenter.org/digital-whistleblowing-fund-new-grant-program-to-support-whistleblowing-initiatives/,,News,,EN,0,0,,data/posts/digital-whistleblowing-fund-new-grant-program-to-support-whistleblowing-initiatives/content.html
regolamento-sui-contenuti-terroristici-associazioni-per-i-diritti-civili-sollevano-preoccupazioni-importanti,2018-12-06 12:43:26,2018-12-06T11:43:26Z,Regolamento sui contenuti terroristici: associazioni per i diritti civili sollevano preoccupazioni importanti,https://www.hermescenter.org/regolamento-sui-contenuti-terroristici-associazioni-per-i-diritti-civili-sollevano-preoccupazioni-importanti/,,News; Press,,IT,1,0,,data/posts/regolamento-sui-contenuti-terroristici-associazioni-per-i-diritti-civili-sollevano-preoccupazioni-importanti/content.html
gruppi-di-consumatori-ong-e-industrie-chiedono-congiuntamente-al-consiglio-dellue-di-promuovere-la-riforma-eprivacy,2018-12-06 12:46:49,2018-12-06T11:46:49Z,"Gruppi di consumatori, ONG e industrie chiedono congiuntamente al Consiglio dell’UE di promuovere la riforma ePrivacy",https://www.hermescenter.org/gruppi-di-consumatori-ong-e-industrie-chiedono-congiuntamente-al-consiglio-dellue-di-promuovere-la-riforma-eprivacy/,,News; Press,,IT,1,0,,data/posts/gruppi-di-consumatori-ong-e-industrie-chiedono-congiuntamente-al-consiglio-dellue-di-promuovere-la-riforma-eprivacy/content.html
lettera-aperta-al-mise-per-garantire-la-corretta-finalizzazione-del-regolamento-europeo-eprivacy,2018-12-21 14:53:16,2018-12-21T13:53:16Z,Lettera aperta al MISE per garantire la corretta finalizzazione del regolamento europeo ePrivacy,https://www.hermescenter.org/lettera-aperta-al-mise-per-garantire-la-corretta-finalizzazione-del-regolamento-europeo-eprivacy/,,News; Press,,IT,2,0,,data/posts/lettera-aperta-al-mise-per-garantire-la-corretta-finalizzazione-del-regolamento-europeo-eprivacy/content.html
anac-ed-openwhistleblowing,2019-01-16 00:04:27,2019-01-15T23:04:27Z,ANAC ed OpenWhistleblowing,https://www.hermescenter.org/anac-ed-openwhistleblowing/,,News; Press,,IT,2,0,,data/posts/anac-ed-openwhistleblowing/content.html
lettera-aperta-per-richiedere-la-soppressione-degli-articoli-11-e-13-della-direttiva-europea-sul-copyright,2019-01-29 11:37:05,2019-01-29T10:37:05Z,Lettera aperta per richiedere la soppressione degli articoli 11 e 13 della direttiva europea sul copyright,https://www.hermescenter.org/lettera-aperta-per-richiedere-la-soppressione-degli-articoli-11-e-13-della-direttiva-europea-sul-copyright/,,News; Press,,IT,3,0,,data/posts/lettera-aperta-per-richiedere-la-soppressione-degli-articoli-11-e-13-della-direttiva-europea-sul-copyright/content.html
lettera-aperta-sul-database-per-i-contenuti-terroristici,2019-02-06 12:28:49,2019-02-06T11:28:49Z,Lettera aperta sul database per i contenuti terroristici,https://www.hermescenter.org/lettera-aperta-sul-database-per-i-contenuti-terroristici/,,News; Press,,IT,1,0,,data/posts/lettera-aperta-sul-database-per-i-contenuti-terroristici/content.html
e-ora-di-chiamare-i-nostri-parlamentari-per-bloccare-larticolo-13-della-direttiva-copyright,2019-03-07 15:32:07,2019-03-07T14:32:07Z,È ora di chiamare i nostri parlamentari per bloccare l’articolo 13 della direttiva copyright,https://www.hermescenter.org/e-ora-di-chiamare-i-nostri-parlamentari-per-bloccare-larticolo-13-della-direttiva-copyright/,,News; Press,,IT,2,0,,data/posts/e-ora-di-chiamare-i-nostri-parlamentari-per-bloccare-larticolo-13-della-direttiva-copyright/content.html
mancanza-di-una-vision-tecnologica-a-supporto-del-foia,2019-03-13 12:17:16,2019-03-13T11:17:16Z,Mancanza di una vision tecnologica a supporto del FOIA,https://www.hermescenter.org/mancanza-di-una-vision-tecnologica-a-supporto-del-foia/,,News,,IT,1,0,,data/posts/mancanza-di-una-vision-tecnologica-a-supporto-del-foia/content.html
unitevi-allaction-week-nella-settimana-decisiva-contro-larticolo-13,2019-03-18 03:50:59,2019-03-18T02:50:59Z,Unitevi all’Action Week nella settimana decisiva contro l’Articolo 13,https://www.hermescenter.org/unitevi-allaction-week-nella-settimana-decisiva-contro-larticolo-13/,,News; Press,,IT,2,0,,data/posts/unitevi-allaction-week-nella-settimana-decisiva-contro-larticolo-13/content.html
digital-whistleblowing-fund-call-for-applications-round-2,2019-07-01 12:16:24,2019-07-01T10:16:24Z,Digital Whistleblowing Fund: Call for applications (Round 2),https://www.hermescenter.org/digital-whistleblowing-fund-call-for-applications-round-2/,,News,Digital Whistleblowing Fund; GlobaLeaks; funding; gender-based violence; grant; migrants; minorities; refugees; whistleblowing; whistleblowingfund,EN,1,0,,data/posts/digital-whistleblowing-fund-call-for-applications-round-2/content.html
conferenza-win-sul-whistleblowing-quali-best-practice-per-la-protezione-dei-segnalanti,2019-09-25 11:21:50,2019-09-25T09:21:50Z,Conferenza WIN sul whistleblowing: quali best practice per la protezione dei segnalanti?,https://www.hermescenter.org/conferenza-win-sul-whistleblowing-quali-best-practice-per-la-protezione-dei-segnalanti/,,News,GlobaLeaks; whistleblowing,IT,2,0,,data/posts/conferenza-win-sul-whistleblowing-quali-best-practice-per-la-protezione-dei-segnalanti/content.html
